global_cycle,discharge_time_s,avg_voltage,voltage_drop,avg_current,rul,battery_id,dataset,soh_pct
1,3380.2415270647616,3.8657754367506,1.500356674194336,-0.005022285874846103,447,CS2_35,CALCE,99.48149713996358
2,3484.1491888364035,3.8631515994796097,1.500194787979126,-0.019195819357817025,446,CS2_35,CALCE,99.74761986075593
3,3493.1684535000823,3.8631009743972258,1.500518560409546,-0.014312939195488898,445,CS2_35,CALCE,100.01406197159532
4,3495.5013028341127,3.8620441169901327,1.500356674194336,-0.014619768772800771,444,CS2_35,CALCE,100.0852943574344
5,3495.777729678557,3.861414509740743,1.5006804466247559,-0.014238540008426009,443,CS2_35,CALCE,100.09317616337967
6,3494.598325078332,3.860869520089843,1.500518560409546,-0.01437553543746617,442,CS2_35,CALCE,100.05984764683465
7,3494.2797570653493,3.861678828598757,1.500194787979126,-0.013104369453281143,441,CS2_35,CALCE,100.05274276433265
8,3494.759198712505,3.8615742641535427,1.500356674194336,-0.012952412306022745,440,CS2_35,CALCE,100.06851977263467
9,3493.4573769801355,3.8610450390715774,1.500518560409546,-0.013072648103462358,439,CS2_35,CALCE,100.02882294262614
10,3491.244590126458,3.8607203609207197,1.500518560409546,-0.013121254157430621,438,CS2_35,CALCE,99.96601762209248
11,3488.91227609232,3.860422267454542,1.500518560409546,-0.01272626665042233,437,CS2_35,CALCE,99.90021729044533
12,3484.80190938295,3.8601746221439694,1.5006804466247559,-0.012915063033700939,436,CS2_35,CALCE,99.77838073708136
13,3483.56888833415,3.85970643365925,1.500194787979126,-0.014512532521828027,435,CS2_35,CALCE,99.7425203714779
14,3481.795468669181,3.859736658696075,1.500356674194336,-0.012905341015263624,434,CS2_35,CALCE,99.69095018495219
15,3479.8482712362893,3.8593178161165933,1.5006804466247559,-0.014337053443341574,433,CS2_35,CALCE,99.63698440392437
16,3479.235279687593,3.8593821959062056,1.500356674194336,-0.0141913348829803,432,CS2_35,CALCE,99.61939250275489
18,3475.507320528297,3.859062061769091,1.5006804466247559,-0.013006645358674143,430,CS2_35,CALCE,99.51194301009755
19,3446.7671849961334,3.8559526561671853,1.500356674194336,-0.011071822650014539,429,CS2_35,CALCE,98.65989194878553
20,3417.5462814679486,3.8570395704628764,1.500356674194336,-0.016043119095653917,428,CS2_35,CALCE,97.8009767185532
21,3421.9002643486892,3.8604312519985453,1.500518560409546,-0.019054208684196078,427,CS2_35,CALCE,97.92930923564828
22,3414.8615079236624,3.858279416034388,1.500356674194336,-0.017378641862008007,426,CS2_35,CALCE,97.72326295346564
23,3404.1567325895885,3.8601181604708845,1.500194787979126,-0.01587896781724371,425,CS2_35,CALCE,97.40883572317385
24,3394.839641628845,3.864320563294037,1.500194787979126,-0.020757000660225927,424,CS2_35,CALCE,98.1631264122628
25,3403.094707103446,3.8594159729542583,1.500194787979126,-0.0173336973950862,423,CS2_35,CALCE,98.40867084647009
26,3426.453349886753,3.8609545869854753,1.5006804466247559,-0.012770060575647703,422,CS2_35,CALCE,98.07190029570724
27,3389.640624488995,3.857006824504562,1.500194787979126,-0.01585256267639901,421,CS2_35,CALCE,96.98436949763433
29,3385.676374621282,3.8599328351510236,1.500356674194336,-0.017634115356315594,419,CS2_35,CALCE,96.86944480953733
30,3381.2308998341905,3.8636069143519682,1.500356674194336,-0.015633883509059053,418,CS2_35,CALCE,96.73982044893899
31,3371.650083422428,3.8600997148886234,1.500194787979126,-0.01767664485075098,417,CS2_35,CALCE,96.45960201705637
32,3403.5385839330847,3.8650851725133633,1.5006804466247559,-0.01779512609621439,416,CS2_35,CALCE,97.40179821772698
33,3407.3143975147395,3.8633060246792894,1.500194787979126,-0.014371530922284518,415,CS2_35,CALCE,97.51160464854864
34,3376.080525986559,3.858005395732667,1.500194787979126,-0.012847704955117566,414,CS2_35,CALCE,96.58971545369567
35,3359.5229218685417,3.8605801113963834,1.500518560409546,-0.01879396403901356,413,CS2_35,CALCE,96.10706599040452
