regime,model,MAE_cycles,R2,std_coverage,std_width,adaptive_coverage,adaptive_width
CALCE_to_NASA,ElasticNet,387.821,-107.417,0.0,235.17,0.0,139.973
CALCE_to_NASA,RandomForest,307.751,-64.659,0.0,118.022,0.0,75.43
CALCE_to_NASA,XGBoost,305.208,-64.276,0.0,56.968,0.0,59.956
NASA_to_CALCE,ElasticNet,88.439,0.334,0.189,56.663,0.139,38.849
NASA_to_CALCE,RandomForest,136.017,-0.561,0.047,19.72,0.049,17.986
NASA_to_CALCE,XGBoost,137.838,-0.588,0.034,14.377,0.023,11.738
within_CALCE,ElasticNet,91.254,0.171,0.596,207.453,0.324,137.349
within_CALCE,RandomForest,90.396,0.211,0.283,108.286,0.225,74.303
within_CALCE,XGBoost,83.38,0.263,0.201,55.316,0.155,44.916
within_NASA,ElasticNet,29.866,0.227,0.302,41.895,0.239,32.922
within_NASA,RandomForest,22.054,0.268,0.328,15.607,0.319,14.138
within_NASA,XGBoost,22.683,0.319,0.262,13.341,0.224,10.981
